timestamp,open,high,low,close,volume
2026-08-03T09:30:00-04:00,100.00,100.16,99.94,100.10,1040607
2026-08-03T09:35:00-04:00,100.10,100.16,100.01,100.07,1026927
2026-08-03T09:40:00-04:00,100.07,100.21,100.01,100.15,1203535
2026-08-03T09:45:00-04:00,100.15,100.25,100.02,100.11,637819
2026-08-03T09:50:00-04:00,100.11,100.17,100.00,100.06,576139
2026-08-03T09:55:00-04:00,100.06,100.15,99.95,100.03,673381
2026-08-03T10:00:00-04:00,100.03,100.10,99.97,100.04,698271
2026-08-03T10:05:00-04:00,100.04,100.13,99.90,99.99,697707
2026-08-03T10:10:00-04:00,99.99,100.07,99.93,100.01,721325
2026-08-03T10:15:00-04:00,100.01,100.50,99.94,100.43,1393134
2026-08-03T10:20:00-04:00,100.43,100.55,100.34,100.45,717425
2026-08-03T10:25:00-04:00,100.45,100.62,100.37,100.53,738594
2026-08-03T10:30:00-04:00,100.53,100.67,100.45,100.59,708742
2026-08-03T10:35:00-04:00,100.59,100.73,100.53,100.67,719911
2026-08-03T10:40:00-04:00,100.67,100.85,100.58,100.75,623698
2026-08-03T10:45:00-04:00,100.75,100.86,100.68,100.78,664617
2026-08-03T10:50:00-04:00,100.78,100.87,100.73,100.81,662699
2026-08-03T10:55:00-04:00,100.81,100.94,100.74,100.87,677291
2026-08-03T11:00:00-04:00,100.87,100.98,100.81,100.92,773357
2026-08-03T11:05:00-04:00,100.92,101.06,100.85,100.98,718334
2026-08-03T11:10:00-04:00,100.98,101.07,100.93,101.01,679748
2026-08-03T11:15:00-04:00,101.01,101.18,100.94,101.11,723519
2026-08-03T11:20:00-04:00,101.11,101.25,101.04,101.17,746367
2026-08-03T11:25:00-04:00,101.17,101.30,101.07,101.20,621392
2026-08-03T11:30:00-04:00,101.20,101.30,101.14,101.24,774408
2026-08-03T11:35:00-04:00,101.24,101.40,101.17,101.32,668865
2026-08-03T11:40:00-04:00,101.32,101.50,101.23,101.39,693087
2026-08-03T11:45:00-04:00,101.39,101.52,101.31,101.43,657433
2026-08-03T11:50:00-04:00,101.43,101.55,101.37,101.49,766834
2026-08-03T11:55:00-04:00,101.49,101.63,101.40,101.54,652845
2026-08-03T12:00:00-04:00,101.54,101.70,101.47,101.63,623915
2026-08-03T12:05:00-04:00,101.63,101.71,101.58,101.65,721410
2026-08-03T12:10:00-04:00,101.65,101.80,101.59,101.73,680112
2026-08-03T12:15:00-04:00,101.73,101.89,101.67,101.83,704891
2026-08-03T12:20:00-04:00,101.83,101.98,101.77,101.92,737081
2026-08-03T12:25:00-04:00,101.92,102.05,101.86,101.99,706211
2026-08-03T12:30:00-04:00,101.99,102.06,101.89,101.96,511858
2026-08-03T12:35:00-04:00,101.96,102.03,101.88,101.94,576636
2026-08-03T12:40:00-04:00,101.94,102.03,101.88,101.97,479895
2026-08-03T12:45:00-04:00,101.97,102.09,101.89,102.00,566240
2026-08-03T12:50:00-04:00,102.00,102.08,101.90,101.97,476674
2026-08-03T12:55:00-04:00,101.97,102.07,101.89,101.99,524914
2026-08-03T13:00:00-04:00,101.99,102.06,101.93,102.00,498054
2026-08-03T13:05:00-04:00,102.00,102.06,101.89,101.95,573551
2026-08-03T13:10:00-04:00,101.95,102.04,101.88,101.97,464829
2026-08-03T13:15:00-04:00,101.97,102.08,101.90,102.00,575779
2026-08-03T13:20:00-04:00,102.00,102.07,101.89,101.95,552523
2026-08-03T13:25:00-04:00,101.95,102.03,101.90,101.97,473623
2026-08-03T13:30:00-04:00,101.97,102.05,101.88,101.95,566479
2026-08-03T13:35:00-04:00,101.95,102.02,101.88,101.94,484032
2026-08-03T13:40:00-04:00,101.94,102.00,101.87,101.93,496502
2026-08-03T13:45:00-04:00,101.93,102.05,101.86,101.97,538704
2026-08-03T13:50:00-04:00,101.97,102.04,101.89,101.95,485642
2026-08-03T13:55:00-04:00,101.95,102.02,101.87,101.93,531020
2026-08-03T14:00:00-04:00,101.93,101.99,101.83,101.89,536361
2026-08-03T14:05:00-04:00,101.89,101.96,101.79,101.85,570596
2026-08-03T14:10:00-04:00,101.85,101.96,101.78,101.88,541088
2026-08-03T14:15:00-04:00,101.88,101.95,101.78,101.84,474112
2026-08-03T14:20:00-04:00,101.84,101.96,101.76,101.87,555520
2026-08-03T14:25:00-04:00,101.87,101.97,101.81,101.90,481363
2026-08-03T14:30:00-04:00,101.90,101.98,101.74,101.82,605172
2026-08-03T14:35:00-04:00,101.82,101.89,101.74,101.80,635380
2026-08-03T14:40:00-04:00,101.80,101.88,101.73,101.80,586473
2026-08-03T14:45:00-04:00,101.80,101.88,101.73,101.80,573203
2026-08-03T14:50:00-04:00,101.80,101.88,101.65,101.73,577579
2026-08-03T14:55:00-04:00,101.73,101.80,101.60,101.67,671966
2026-08-03T15:00:00-04:00,101.67,101.75,101.55,101.62,544206
